XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor,"ARIMA(1,0,1)","SARIMAX(1,0,1,8)"
2289.71,2166.636171862196,2297.905666666667,2329.532677135136,2359.958129330073,2301.826793865353,2318.5132514359148,2370.583855775317,2377.4459096189657,2322.626666133332,2362.678207878866,2277.7286656914107
3065.556,2758.7885316140478,2912.61,2591.1753334765126,2580.724706380163,2398.139973355762,2614.073628612627,2660.0088579793887,2650.042215981677,2667.7914513151104,2362.725235997377,2318.437041690197
2208.5227,2086.147159122587,2047.415,1930.874285132347,2002.960559407249,2081.60898180712,1928.478795376788,1950.986515065272,1995.9860557630916,1961.3973397794605,2362.68425673999,2516.9556719647962
1819.9355,1600.205671752127,1661.77,1602.0545630651025,1705.0288618546913,1645.5394258068948,1597.1394021234237,1769.795456232413,1724.9282548242302,1607.5573193181642,2362.719965154215,2377.383033112856
2964.1875,3080.805175188388,3006.34,3326.514249608947,3262.119210976642,3537.974895321442,3331.021749108134,3206.1420592578884,3234.727004829164,3234.2970558330426,2362.68884963559,2423.62150825887
2567.0354,2524.3460278591374,2630.8,3693.862681967744,3440.300939070527,3774.561673554341,3759.641232772386,3400.708683243485,3410.8417215070986,3418.190934165868,2362.7159630070546,2345.612896222413
2367.795,2262.651893898712,2214.38,2237.427130492587,2227.0575146828783,2073.7172840272533,2220.763529430299,2279.648401605972,2279.882490807917,2237.674772636032,2362.6923370176874,2359.691523698504
1477.9854,1489.5877305679892,1526.13,1630.3248469748337,1636.7252357658,1708.7492805188983,1625.047640169155,1614.6902835087992,1641.8047733921264,1610.162840940906,2362.712924179793,2053.68092993682
1519.7812,1424.996386168412,1539.41,1442.2843276417225,1463.8294264324943,1630.8732202316437,1471.7781834483571,1409.469058085297,1445.071411407538,1474.5303181095474,2362.6949849842326,2277.730012683815
1832.305,1675.472494561734,1738.36,1713.9639890952376,1745.2442115817687,1616.772233892493,1664.87183859592,1848.404885084955,1792.9744943504747,1693.326878257862,2362.71061680059,2318.4379794699753
1565.2123,1541.5169182506804,1569.51,1677.7140001718258,1679.934676489327,1719.4605966926692,1670.893962603471,1678.3749010653962,1705.131668907581,1650.3408063986806,2362.6969955831946,2516.956967699534
2460.4692,2635.636981644596,2691.38,2731.839029253424,2647.088562538382,2423.8001796943386,2734.151968890095,2739.647091036768,2702.71912440432,2721.764916948046,2362.7088648093354,2377.3843738884884
1666.0049,1713.1312924777596,1587.63,1550.2042744179205,1566.2689977707344,1605.301445152633,1537.428008606014,1578.4752650455011,1568.656689030021,1558.3243467931677,2362.69852222944,2423.6225937773297
2375.027,2254.676632498045,2195.805,2078.1258811828984,2135.8449586653155,2137.972730901021,2071.620508436678,2115.7818775134538,2133.91907581168,2098.821852956635,2362.7075345237226,2345.6138016266837
2705.2712,2792.1758072607136,2648.13,2576.991493930975,2620.7806244702083,2648.1095630398127,2543.0564979968044,2600.9434731959523,2625.0287078699457,2583.0109120628126,2362.699681410761,2359.6926058678473
2305.2407,2544.16462112752,2520.7,2569.227606294941,2527.8304523695265,2337.362551985761,2559.720403916996,2608.922147116112,2579.7847709138264,2547.3008110045066,2362.70652443888,2053.6819497886004
1160.5378,1370.7289450181577,1403.77,1578.6200878873092,1547.9350018838888,1435.415110369309,1511.7921351388486,1687.9817401998653,1615.8627984216992,1460.4389216608504,2362.7005615762464,2277.7310891046727
1703.0077,1648.6113345532,1626.8,1637.0347920758963,1732.340487105772,1779.998189699468,1668.175946906238,1717.3815438258573,1729.188191526323,1645.3297454061546,2362.705757482235,2318.4390063642413
1045.6812,1074.79452321975,1182.65,1262.1000943102392,1256.4596848080405,1399.9782021845265,1268.9969109180042,1269.670530289405,1239.1197263582349,1238.32219131376,2362.701229885223,2516.958037856135
2029.9471,2090.3683186814483,2231.4966666666664,2262.372190337948,2299.049537884072,2196.8925769182565,2248.733034671146,2329.535337386892,2309.1793026328373,2234.370399825526,2362.705175132645,2377.385449460467
3001.6777,2881.6106093954086,2835.98,2735.433819820326,2672.4267313885507,2513.3819157845182,2732.4988957282267,2739.245260980872,2719.846191538334,2763.214242033938,2362.7017373317144,2423.6236384436334
2261.7778,2226.1835065748232,2188.59,2038.4043263374629,2081.668368583545,1996.007931952765,2017.5609725753773,2106.043473703628,2102.2268176798966,2068.0056199230603,2362.7047329550487,2345.614824475858
3779.7498,3865.962248780168,3680.1,4605.390213280861,3909.227700260934,4158.626729325679,4701.018889222981,4006.145018365301,3972.9633280852927,4367.16164502428,2362.7021226354454,2359.693650064443
1343.251,1427.7892268202302,1279.43,1430.645897762873,1399.1321859760212,1493.1912514210192,1423.8730490196488,1417.8732893755268,1417.3765499667995,1398.9778383081016,2362.70439720994,2053.6829864155716
